Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Three Wheeler (Personal),0,6,407,11,1,27,0,6,3,2,43,0,0,0,0,309,791,0,2,39,2,2,2,1,0,10,0,1,6,0,269,0,0,12,3,1955
Tow Truck,1,0,7,0,0,1,0,0,0,0,6,0,0,0,0,2,1,0,0,98,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,122
Tower Wagon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,7
Tractor (Commercial),1,19688,88,15043,43696,932,0,2,0,5,3848,78,6,16773,25,848,1,0,2,2754,21,2,10,5,1,12146,1,7,14,0,159,7,631,1048,16910,134752
Tractor-Trolley(Commercial),0,0,1,1,3,3,0,1,0,1,7,0,0,929,0,0,1,0,0,5,0,0,149,0,0,428,0,0,1131,0,1,0,0,125,1,2787
Trailer (Agricultural),0,11504,2,2,1786,4936,0,3,0,0,4516,0,0,0,0,13087,0,0,0,10318,0,1,2981,0,0,37,0,0,41,0,229,0,0,30,1,49474
Trailer (Commercial),0,16646,25,5353,18942,309,0,11,0,9,567,0,35,5850,0,382,1,0,0,315,8,2,8,0,14,8952,0,7,4,0,75,0,1018,956,580,60069
Trailer For Personal Use,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,0,3,0,2,0,0,0,0,0,0,6,1,0,0,2,0,0,1,0,52
Tree Trimming Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4
Vehicle Fitted With Compressor,0,10,1,5,0,1,0,0,0,0,21,3,3,2,0,16,37,0,0,7,0,0,3,0,0,11,0,0,55,0,249,0,0,5,1,430
Vehicle Fitted With Generator,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,27,3,0,0,26,0,0,2,0,0,7,0,0,1,0,11,0,0,2,73,158
Vehicle Fitted With Rig,0,44,0,5,0,22,0,0,0,0,59,12,8,0,0,459,1,0,0,36,0,0,10,0,0,8,1,0,114,0,186,0,2,1,0,968
X-Ray Van,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
e-Rickshaw with Cart (G),0,8,0,13,68,56,13,0,898,0,23,0,119,53,0,21,4,0,0,203,0,1,243,0,0,40,0,0,283,0,0,0,54,647,22,2769
e-Rickshaw(P),0,25,0,7574,7983,486,155,0,19340,0,22,0,2916,1491,1,28,25,0,0,1070,0,17,1908,0,0,296,80,1,2896,0,22,1,4781,49989,6628,107735
Total,10141,1245102,23159,518751,1285979,576964,47408,20802,721496,81203,1825095,144778,860403,635293,183911,1698570,1052156,3363,1218,2710417,33363,33263,1456305,23840,33124,859396,841658,65508,1477531,7160,2116079,60632,282748,3354521,1128771,25420108
