Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Motor Cab,54,2977,64,1035,2814,464,64,30,2090,876,3352,1872,4966,1117,97,8057,1101,13,0,7087,1123,12,1747,271,163,2290,1548,84,1917,594,4834,191,2473,5003,664,61044
Motor Car,1301,65636,6066,60659,54993,41963,14322,3040,116994,10435,217792,50555,140671,48559,59923,166137,155840,1710,20,257693,8213,4530,110106,3709,5605,44826,84898,5418,132083,2892,147214,4381,34384,251844,76576,2390988
Motor Cycle/Scooter-SideCar(T),0,60,0,0,0,0,0,0,0,43,7,0,1,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,34,0,0,0,0,5,0,159
Motor Cycle/Scooter-Used For Hire,0,109,0,0,0,0,6,15,0,783,34,70,43,0,0,2408,173,54,0,0,4,0,9,279,17,61,9,0,1277,6,0,0,284,14,60,5715
Motor Cycle/Scooter-With Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Motorised Cycle (CC 25cc),5,2,2,0,534,3,43,746,3,3,27938,88,143,72336,218,6835,934,0,0,1621,1,10,0,0,0,9188,231,300,22105,1874,38635,2,6,11394,4644,199844
Omni Bus,14,97,4,0,68,1,0,5,0,3,11,20,15,4,31,8,0,1,0,2,0,5,0,0,2,232,0,24,116,1,147,0,6,137,376,1330
Omni Bus (Private Use),0,721,2,3,1,849,0,0,0,0,0,0,0,1,0,420,111,0,0,3,0,0,2105,0,0,98,2,0,1,0,124,0,1,3,2326,6771
Power Tiller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,44
Power Tiller (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Private Service Vehicle,1,88,6,1,0,23,0,2,0,1,0,33,1,0,120,357,49,0,0,12,0,0,64,0,0,75,0,3,31,0,818,0,0,14,9,1708
Private Service Vehicle (Individual Use),0,0,8,8,0,12,2,0,0,0,6,366,4,0,0,295,465,1,0,23,4,0,3,0,0,22,1,0,2,0,67,0,0,0,1,1290
Quadricycle (Commercial),0,3,0,0,0,0,0,0,0,0,4,0,7,0,0,90,54,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
Quadricycle (Private),0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,8,20,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42
Recovery Vehicle,0,4,0,2,0,0,0,0,0,2,6,13,17,0,1,2,8,0,0,2,8,0,1,1,0,2,1,0,20,0,19,0,0,0,2,111
Road Roller,0,37,1,5,0,13,0,0,0,0,12,0,4,0,0,0,11,0,0,13,2,1,98,0,0,2,0,0,4,0,21,0,0,5,2,231
School Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Semi-Trailer (Commercial),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Snorked Ladders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Three Wheeler (Goods),11,7002,9,1659,7829,726,233,18,1411,6,11247,59,1767,4400,3133,6465,5052,1,13,6295,25,4,5867,0,4,4454,1189,23,3099,0,2498,283,260,7632,2163,84837
Three Wheeler (Passenger),106,19963,185,6935,31219,1675,48,15,1836,49,17296,199,7839,10224,462,16888,9327,0,11,28297,456,215,10572,792,331,6830,3397,73,8717,0,16248,3528,968,22047,7561,234309
Three Wheeler (Personal),1,7,5,1,0,7,0,5,0,6,10,0,0,0,0,90,308,0,0,14,4,0,1,0,0,9,0,2,1,0,164,0,0,5,0,640
Tow Truck,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,5,2,0,0,42,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,58
Tower Wagon,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,11
Tractor (Commercial),0,10637,213,11684,39666,1116,0,5,0,10,4529,4,64,10947,26,1205,2,0,2,315,10,0,27,4,0,11079,3,6,6,0,57,9,332,511,10819,103288
Tractor-Trolley(Commercial),0,0,0,0,1,2,0,0,0,0,3,0,0,2614,0,2,0,0,0,8,0,0,91,0,0,1431,0,0,1066,0,0,1,0,148,0,5367
Trailer (Agricultural),0,4644,0,3239,667,6568,0,0,0,1,4430,0,1,0,0,13684,0,0,0,13008,0,0,2264,0,0,1,0,0,0,0,180,0,0,11,0,48698
Trailer (Commercial),0,8820,20,745,10578,235,0,27,0,3,474,0,54,159,0,397,0,0,0,150,16,0,5,0,10,4909,0,8,4,0,4,0,206,275,263,27362
Trailer For Personal Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Tree Trimming Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Vehicle Fitted With Compressor,0,14,0,1,0,6,0,0,0,0,15,1,0,0,0,14,14,0,0,15,0,0,6,0,0,3,0,0,31,0,191,0,0,9,0,320
Vehicle Fitted With Generator,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,10,0,0,0,22,0,0,0,0,0,3,0,0,0,0,10,0,0,1,30,83
Vehicle Fitted With Rig,0,36,0,4,0,12,0,0,0,0,18,2,0,6,0,316,1,0,0,35,0,0,1,1,0,2,1,0,95,0,75,0,0,4,1,610
X-Ray Van,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
e-Rickshaw with Cart (G),0,209,0,21,131,86,73,0,2189,1,56,0,453,15,0,78,1,0,0,217,0,0,260,0,0,125,98,0,605,0,0,0,82,1318,78,6096
e-Rickshaw(P),0,350,0,8288,11853,664,207,0,8097,1,46,150,2021,1133,1,61,176,0,0,810,0,95,2146,0,0,123,598,0,2904,0,0,3136,2070,28463,9785,83178
Total,6224,987883,20941,407082,1036877,481833,30687,13165,423368,42437,1124083,133627,607017,483086,184295,1205789,641127,2418,730,1775068,23450,15965,1261945,23396,16251,601284,514854,42172,1107629,7218,1492671,51040,185313,2626140,1055869,18632934
